discount;baseline_margin;scenario_margin;margin_gain;baseline_revenue;scenario_revenue;campaign_cost;net_gain;roi;discount_pct;roi_pct
0,05;1251104;1174830; -76274;2502211;2480190;5000; -81274;-16,2548;5 %;-1625,5
0,10;1251104;1087324;-163780;2502211;2446474;5000;-168780;-33,7560;10 %;-3375,6
0,15;1251104; 989383;-261721;2502211;2402793;5000;-266721;-53,3442;15 %;-5334,4
0,20;1251104; 880523;-370581;2502211;2348054;5000;-375581;-75,1162;20 %;-7511,6
0,25;1251104; 760729;-490375;2502211;2282190;5000;-495375;-99,0750;25 %;-9907,5
